"state","county","countystate","cw1972","isenNA","flag","PNAScount","PNASyears","DATAyears"
"Indiana","Vigo","Vigo, Indiana","Primary nonattainment","Nonattainment","Both",700,11,10
"Louisiana","Caddo","Caddo, Louisiana","Primary nonattainment","Nonattainment","Both",1683,11,10
"Louisiana","East Baton Rouge","East Baton Rouge, Louisiana","Primary nonattainment","Attainment","Both",2862,11,11
"Louisiana","Orleans","Orleans, Louisiana","Primary nonattainment","Attainment","Both",2922,11,10
"Maine","Hancock","Hancock, Maine","Primary nonattainment","Attainment","Both",447,11,10
"Maryland","Baltimore (City)","Baltimore, Maryland","Primary nonattainment","Nonattainment","Both",10026,11,4
"Montana","Glacier","Glacier, Montana","Attainment","Attainment","Both",92,11,6
"Montana","Lewis and Clark","Lewis and Clark, Montana","Primary nonattainment","Attainment","Both",725,11,8
"Nevada","Clark","Clark, Nevada","Primary nonattainment","Nonattainment","Both",8062,11,10
"Nevada","Washoe","Washoe, Nevada","Primary nonattainment","Nonattainment","Both",2356,11,11
"Nevada","White Pine","White Pine, Nevada","Primary nonattainment","Attainment","Both",52,11,10
"New Jersey","Camden","Camden, New Jersey","Primary nonattainment","Nonattainment","Both",3918,11,10
"New Jersey","Essex","Essex, New Jersey","Primary nonattainment","Nonattainment","Both",5567,11,10
