"FIPS","Year","Pop"
"02030",1978,615
"02030",1979,578
"02040",1969,3300
"02040",1970,3300
"02040",1971,2711
"02040",1972,2596
"02040",1973,2664
"02040",1974,3462
"02040",1975,3506
"02040",1976,3860
"02040",1977,3769
"02040",1978,3706
"02040",1979,3794
"02050",1969,7768
"02050",1970,7768
"02050",1971,7782
"02050",1972,7994
"02050",1973,8508
"02050",1974,8816
"02050",1975,9437
"02050",1976,9558
"02050",1977,9540
"02050",1978,9550
"02050",1979,9750
"02050",1980,10943
"02050",1981,11250
"02060",1969,1148
"02060",1970,1148
"02060",1971,1178
"02060",1972,1049
"02060",1973,1083
"02060",1974,1140
"02060",1975,1198
"02060",1976,1175
"02060",1977,1167
"02060",1978,1084
"02060",1979,1096
"02060",1980,1112
"02060",1981,1194
"02070",1969,3499
"02070",1970,3499
"02070",1971,3561
"02070",1972,3719
"02070",1973,3782
"02070",1974,3891
"02070",1975,4089
"02070",1976,4118
"02070",1977,4158
"02070",1978,4239
"02070",1979,4191
"02070",1980,3186
"02070",1981,3123
"02080",1969,1868
"02080",1970,1868
"02080",1971,1933
"02080",1972,1868
"02080",1973,1927
"02080",1974,1981
"02080",1975,2148
"02080",1976,2325
"02080",1977,2186
"02080",1978,2179
"02080",1979,2306
"02090",1969,46140
"02090",1970,46140
"02090",1971,47255
"02090",1972,47693
"02090",1973,47657
"02090",1974,48481
"02090",1975,51769
"02090",1976,55974
"02090",1977,55429
"02090",1978,55321
"02090",1979,54902
"02090",1980,54502
"02090",1981,56581
"02100",1969,1548
"02100",1970,1548
"02100",1971,1722
"02100",1972,1695
"02100",1973,1694
"02100",1974,1853
"02100",1975,2001
"02100",1976,1916
"02100",1977,1739
"02100",1978,1667
"02100",1979,1680
"02100",1980,1698
"02100",1981,1783
"02110",1969,13774
"02110",1970,13774
"02110",1971,14666
"02110",1972,15142
"02110",1973,15854
"02110",1974,16582
"02110",1975,17639
"02110",1976,18619
"02110",1977,19138
"02110",1978,19423
"02110",1979,19857
"02110",1980,19701
"02110",1981,20492
"02120",1969,14225
"02120",1970,14225
"02120",1971,14101
"02120",1972,14138
"02120",1973,13481
"02120",1974,13509
"02120",1975,15271
"02120",1976,17010
"02120",1977,18701
"02120",1978,19712
"02120",1979,20726
"02122",1980,25654
"02122",1981,27097
"02130",1969,10140
"02130",1970,10140
"02130",1971,10574
"02130",1972,10501
"02130",1973,10658
"02130",1974,11025
"02130",1975,11512
"02130",1976,11397
"02130",1977,11331
"02130",1978,11279
"02130",1979,11126
"02130",1980,11476
"02130",1981,12133
"02140",1969,4130
"02140",1970,4130
"02140",1971,4468
"02140",1972,4468
"02140",1973,4830
"02140",1974,4465
"02140",1975,4858
"02140",1976,4755
"02140",1977,4748
"02140",1978,4774
"02140",1979,4839
"02150",1969,9420
"02150",1970,9420
"02150",1971,9438
"02150",1972,9190
"02150",1973,8214
"02150",1974,8682
"02150",1975,9147
"02150",1976,9230
"02150",1977,9188
"02150",1978,9156
"02150",1979,9421
"02150",1980,9982
"02150",1981,10250
"02160",1969,2306
"02160",1970,2306
"02160",1971,2266
"02160",1972,2275
"02160",1973,2420
"02160",1974,2593
"02160",1975,2756
"02160",1976,2770
"02160",1977,2659
"02160",1978,2651
"02160",1979,2761
"02164",1980,1358
"02164",1981,1327
"02170",1969,6658
"02170",1970,6658
"02170",1971,7260
"02170",1972,7811
"02170",1973,8415
"02170",1974,8970
"02170",1975,10201
"02170",1976,11632
"02170",1977,12680
"02170",1978,14433
"02170",1979,16208
"02170",1980,18039
"02170",1981,18862
"02180",1969,5766
"02180",1970,5766
"02180",1971,5812
"02180",1972,5855
"02180",1973,5964
"02180",1974,6215
"02180",1975,6552
"02180",1976,6779
"02180",1977,6703
"02180",1978,6707
"02180",1979,6609
"02180",1980,6509
"02180",1981,6690
"02185",1980,4201
"02185",1981,4400
"02188",1980,4763
"02188",1981,4715
"02190",1969,1684
"02190",1970,1684
"02190",1971,1745
"02190",1972,1644
"02190",1973,1593
"02190",1974,1628
"02190",1975,1657
"02190",1976,1598
"02190",1977,1566
"02190",1978,1309
"02190",1979,1402
"02200",1969,2076
"02200",1970,2076
"02200",1971,1946
"02200",1972,1956
"02200",1973,2275
"02200",1974,2545
"02200",1975,2575
"02200",1976,2774
"02200",1977,2624
"02200",1978,2802
"02200",1979,2584
"02201",1980,3899
"02201",1981,4288
"02210",1969,2341
"02210",1970,2341
"02210",1971,2381
"02210",1972,2561
"02210",1973,2440
"02210",1974,2585
"02210",1975,2989
"02210",1976,2849
"02210",1977,2737
"02210",1978,2855
"02210",1979,2794
"02220",1969,6170
"02220",1970,6170
"02220",1971,6414
"02220",1972,6211
"02220",1973,6822
"02220",1974,6861
"02220",1975,6797
"02220",1976,7234
"02220",1977,7561
"02220",1978,7877
"02220",1979,7648
"02220",1980,7820
"02220",1981,7978
"02230",1969,2166
"02230",1970,2166
"02230",1971,2163
